event_id,event_date,year,event_type,actor_1,actor_2,country,fatalities,location,latitude,longitude,border_distance_km,,distance_to_Preah_vihar_temple_km,,,source,notes
       1,2025-09-18, 2025, Protest           , Royal Thai Police           , Cambodian Civilians         , Thailand, 0         , Sa Kaeo Province,13.766667,102.7, < 1 (60m)         , ,                            221.3 , , , Article                , Protest dispersed by use of force by Thai police
       2,2025-07-24, 2025, Troop Movement    , Royal Cambodian Armed Forces, N/A                         , Cambodia, 0         , Angkrong        ,14.366667,104.7, 3.57              , ,                              3.2 , , , Twitter Post           , RCAF preparing artillery against RTAF
       3,2025-07-24, 2025, Military Offensive, Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, Unknown   , Samraong        ,14.366667,103.583333, 6.45              , ,                            118.29, , , Article                , Series of airstrikes by RTAF against RCAF forces across the border
       4,2025-12-09, 2025, Civilian Movement , Cambodian Civilians         , N/A                         , Cambodia, 0         , Preah Vihear    ,14.383333,104.666667, 1.8               , ,                              1.6 , , , Twitter Post           , Cambodian civilians flee after heavy fighting between RTAF and RCAF
       5,2025-07-23, 2025, Artillery Strike  , Royal Cambodian Armed Forces, Thai Civilians              , Thailand, 7         , Sao Thong Chai  ,14.45,104.716667, 1.96              , ,                              7.6 , , , Article                ," ""7 dead, 14 killed as a result of Cambodian BM-21 rocket strike"""
       6,2025-12-09, 2025, Artillery Strike  , Royal Cambodian Armed Forces, Thai Border Patrol Police   , Thailand, 0         , Preah Vihear    ,14.4,104.666667, <1 (41m)          , ,                              1.7 , , , Twitter Post           , 5 injuries reported after kamikaze drone and BM-21 artillery strike on Border Patrol Base
       7,2025-12-13, 2025, Airstrike         , Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, Unknown   , Nong Ya Kaeo    ,13.716667,102.65, 2.02              , ,                            231.69, , , Facebook Post          , RTAF airstriking an ammunition depot belonging to RCAF across the border
       8,2025-12-10, 2025, Battle            , Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, Unknown   , Boeung Trakoun  ,13.983333,102.85, <1 (474m)         , ,                            202.76, , ," ""Article"," Twitter post"", Thai troops attacking across the border to prevent infiltration by Cambodian Military."
       9,2025-12-19, 2025, Skirmish          , Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, 0         , Koh Kong        ,11.366667,102.75, 34                , ,                            392.75, , , Twitter Post           , Thai Navy opening fire on suspected Cambodian drones
      10,2025-12-10, 2025, Airstrike         , Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, Unknown   , Surin Province  ,14.316667,103.333333, 3.78              , ,                            145.51, , , Twitter Post           , RTAF carrying out an airstrike against RCAF munitions storage area
      11,2025-09-16, 2025, Protest           , Cambodian Civilians         , Royal Thai Armed Forces     , Cambodia, 0         , Ban Nong Chan   ,,, <1 (On the border), ,                            238.43, , , Article                , Cambodian civilians dismantling razor wire set up by Thai Military to deter movement at the border
      12,2025-12-20, 2025, Battle            , Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, Unknown   , Trat            ,,, 2.1               , ,                            325.27, , , Article                , Thai Marines cross the border and capture a Cambodian Military post
      13,2025-12-08, 2025, Artillery Strike  , Royal Cambodian Armed Forces, Royal Thai Armed Forces     , Cambodia, Unknown   , Choam Ksant     ,14.216667,104.933333, 9.92              , ,                             33.37, , , Twitter Post           , Cambodian Military firing MLRS acorss the border
      14,2025-07-25, 2025, Airstrike         , Royal Thai Armed Forces     , Royal Cambodian Armed Forces, Cambodia, Unknown   , Preah Vihear    ,14.383333,104.666667, <1 (679m)         , ,                              0   , , , Facebook Post          , RTAF airstriking Cambodian firebases along the Preah Vihear border area
      15,2025-07-28, 2025, Skirmish          , Royal Cambodian Armed Forces, Royal Thai Armed Forces     , Thailand, Unknown   , Chong Bok       ,14.333333,105.2, <1 (670m)         , ,                             57   , , , Facebook Post          ," ""RTAF reporting ceasefire violation by RCAF, RCAF reported to have fired on RTAF troops stationed on a hill after ceasefire"""
